,E_c1,tau_c1,alpha_1,beta_1,E_c2,tau_c2,alpha_2,Best_Cost,LSE
mean,2150.193606696305,0.810465206345662,0.49028849917782863,0.024734943505910035,79.81994868104108,4.206466514867089,0.10046601551540912,1.1221968843799508,2.1701737895145183
std,8.700094228550226e-06,1.1157484408755775e-08,5.442835496532725e-10,2.2424887516185232e-10,1.1579115097435837e-07,5.320361989150589e-08,1.404260091501701e-10,4.440892098500626e-16,7.021666937153402e-16
