,E_c1,tau_c1,alpha_1,beta_1,E_c2,tau_c2,alpha_2,Best_Cost,LSE
mean,2151.8758668866794,0.7459387459879911,0.4774861584731734,0.026593644749323506,88.29168138125085,3.682577369190504,0.09528022158464293,0.8865307877724415,1.9421433349197261
std,1.308872285690808e-05,2.2381398405486687e-08,2.0762059358264146e-09,5.831972527297541e-10,8.828149895763447e-07,8.233188711320051e-08,9.849683833085235e-10,2.220446049250313e-16,2.7194799110210365e-16
