,E_c1,tau_c1,alpha_1,beta_1,E_c2,tau_c2,alpha_2,Best_Cost,LSE
mean,2494.283563862984,0.8232624490547603,0.4885401282648863,0.018252559745864247,75.00922618500108,4.74737869584875,0.08518641003528499,0.7912039217686802,1.7535075498372956
std,7.747456792432348e-06,1.1292582710068896e-08,8.257665419676329e-10,1.7843662520068174e-10,2.8894593949837543e-07,5.3084490826239617e-08,3.0525501657601064e-10,5.362886707379033e-16,6.409875621278547e-16
