,E_c1,tau_c1,alpha_1,beta_1,E_c2,tau_c2,alpha_2,Best_Cost,LSE
mean,2145.872202056616,2.0664689038007062,0.4650069299936724,0.02459524509242164,156.0238858363795,7.663642837978535,0.10793450604407435,0.819614757140597,1.7933421203062652
std,2.3207601547580025e-05,9.990810645626511e-08,2.5040643371411786e-09,7.638055333338662e-10,1.1446946058616305e-06,3.068186274113538e-07,8.476964471262542e-10,7.195067539997724e-16,9.28879225241625e-16
