,E_c1,tau_c1,alpha_1,E_c2,tau_c2,alpha_2,Best_Cost,LSE
mean,2813.869237679412,0.18895564588876765,0.42017115020150253,65.23136989860924,1.2410337124849689,0.0830140555425491,2.5707458330007844,3.284653443724222
std,3.102478445897284e-06,6.17733892068629e-10,3.776522859231644e-10,4.327972771524e-07,5.461986010500095e-09,3.5743097825690825e-10,2.220446049250313e-16,2.220446049250313e-16
