,E_c1,tau_c1,alpha_1,E_c2,tau_c2,alpha_2,Best_Cost,LSE
mean,3084.8116475295346,0.21997577689068132,0.4149534458130862,52.331316007463,1.6889171977587945,0.05736623774925956,2.5271281142656083,3.133841692669759
std,1.5693436644171632e-06,6.419005322864643e-10,2.6229202167935556e-10,2.3632902563720328e-07,3.015872051215406e-09,4.997378203758749e-10,3.6259732146947156e-16,5.127900497022837e-16
