,E_c1,tau_c1,alpha_1,E_c2,tau_c2,alpha_2,Best_Cost,LSE
mean,2826.7879933013883,0.43086337543120934,0.3844509287560921,123.2728530088611,2.063252950147694,0.08832295516586859,2.089770833112818,2.8635686290406883
std,3.2098197290160518e-06,2.3125793627515596e-09,3.0553493715446365e-10,1.0702084002982876e-06,1.69134499915726e-08,5.967420908297832e-10,3.8459253727671276e-16,4.440892098500626e-16
