,E_c1,tau_c1,alpha_1,beta_1,E_c2,tau_c2,alpha_2,Best_Cost,LSE
mean,2474.227782595512,1.0407500763827953,0.2408054595962937,0.0,622.8291381028879,2.074349017326251,0.037489462476333967,0.6290215701117899,1.126206726665795
std,3.953357729811821e-06,7.930405113923656e-09,4.3703090676624153e-10,0.0,2.1612845917974778e-06,1.757157714021462e-08,1.4558782798217004e-10,1.9229626863835638e-16,2.220446049250313e-16
