,E_c1,tau_c1,alpha_1,beta_1,E_c2,tau_c2,alpha_2,Best_Cost,LSE
mean,2475.6502859792627,1.2249316300038988,0.24784128413830855,0.009198052994760845,770.5789226631786,2.1955732658161566,0.049440434688840844,0.5586880763516991,1.0259615439199137
std,,,,,,,,,
