,E_c1,tau_c1,alpha_1,beta_1,E_c2,tau_c2,alpha_2,Best_Cost,LSE
mean,1474.832097141831,7.29864555437796,0.2648247384759339,0.030535368242072907,615.988911674501,11.293462561769145,0.04581852897650627,0.6060417345149663,1.1886728206163113
std,,,,,,,,,
