,E_c1,tau_c1,alpha_1,beta_1,E_c2,tau_c2,alpha_2,Best_Cost,LSE
mean,2658.4847109447605,0.6587269352871163,0.24071781541904078,0.0,589.7933824655116,1.3985324826881023,0.033991885216891796,0.42733646475285286,1.0236752811686467
std,2.8495036400914928e-06,4.717260551802092e-09,2.684650903891738e-10,0.0,1.2265684657091545e-06,9.238426970794154e-09,2.1822400275288906e-10,5.551115123125783e-17,0.0
