,E_c1,tau_c1,alpha_1,beta_1,E_c2,tau_c2,alpha_2,Best_Cost,LSE
mean,1444.1502324313342,6.749515054832006,0.36137389604572284,0.06061319308630089,334.2540326908783,14.029443028745195,0.08484974560139213,0.19764272134293942,1.0423284440321674
std,,,,,,,,,
