,E_c1,tau_c1,alpha_1,E_c2,tau_c2,alpha_2,Best_Cost,LSE
mean,2156.689683247131,1.0612309172949757,0.3173964198110674,303.99489276896907,2.8266405228032108,0.07177786510726786,0.2204317989695706,1.1007819492236761
std,6.27285965760839e-05,1.3146196635192628e-07,7.268582640759056e-09,2.076257546406473e-05,2.1358190839406251e-07,4.838872929417296e-09,9.243065094059318e-16,2.3551386880256627e-15
