,E_c1,tau_c1,alpha_1,E_c2,tau_c2,alpha_2,Best_Cost,LSE
mean,2432.527489910241,0.6412820673405634,0.30842861505802227,275.78837602385033,1.9045395480621923,0.06021686688146473,0.3413010046199568,1.2736738168393393
std,2.8985149818643775e-06,3.391623132474172e-09,3.480010170822884e-10,1.064040336719801e-06,7.995224180689358e-09,3.1039386831655694e-10,1.0385185452638061e-16,2.482534153247273e-16
