,E_c1,tau_c1,alpha_1,E_c2,tau_c2,alpha_2,Best_Cost,LSE
mean,2990.3910150229353,0.7694068523368723,0.30406860189146784,325.8739189714216,2.3307475568074354,0.05268917351868186,0.22532462614585594,1.1693021325968975
std,8.860029693780351e-05,1.2455322589295032e-07,3.886040064032916e-09,5.968995392445028e-06,3.219078021803948e-07,1.382461371835527e-09,5.034405433428661e-16,1.2690906251431504e-15
