,E_c1,tau_c1,alpha_1,E_c2,tau_c2,alpha_2,Best_Cost,LSE
mean,2816.62163826881,0.6467632614613485,0.3066655783366618,343.60875098557267,1.8517292644966248,0.06056221020861301,0.3759238492898079,1.2270157530664874
std,4.821910274689111e-06,6.3367536584696015e-09,8.077739666061587e-10,2.693384565769657e-06,9.948452881271577e-09,4.966341636142793e-10,1.8200548080610225e-16,3.6821932062951477e-16
