,E_c1,tau_c1,alpha_1,E_c2,tau_c2,alpha_2,Best_Cost,LSE
mean,2817.8301127796426,0.451996517149432,0.22502798971008992,714.7765392598278,0.8974439757083095,0.04459876290215741,0.6209212812506634,1.0815949567936407
std,6.047440877787213e-06,2.540882792130447e-09,5.129004205191068e-10,4.815476592304584e-06,5.64733218009614e-09,3.3289945879932395e-10,2.7194799110210365e-16,2.9373740229761033e-16
