,E_c1,tau_c1,alpha_1,E_c2,tau_c2,alpha_2,Best_Cost,LSE
mean,2658.4847078852845,0.6587269358564573,0.24071781557084804,589.7933837643303,1.398532481552226,0.033991885341301604,0.4273364647528529,1.023675281168647
std,3.67730250125034e-06,4.695892802210281e-09,6.160118695865718e-10,2.9309673520138555e-06,8.902353459934916e-09,2.5098349335296155e-10,1.6184142622847344e-16,2.9373740229761033e-16
