,E_c1,tau_c1,alpha_1,E_c2,tau_c2,alpha_2,Best_Cost,LSE
mean,2524.545399742123,0.17925786423236903,0.18752355868687443,388.7641147693942,0.4568006626323711,0.016512947397224063,1.2382344749910619,1.69907485237273
std,2.288204354049488e-05,3.939471622186317e-09,1.8741156015335746e-09,1.694081875936863e-05,8.75818173858218e-09,2.7379480507148853e-09,5.661048867003676e-16,3.8459253727671276e-16
