,E_c1,tau_c1,alpha_1,E_c2,tau_c2,alpha_2,Best_Cost,LSE
mean,2474.2277818913776,1.0407500751897711,0.240805459943689,622.8291400856531,2.074349011351407,0.03748946259304803,0.62902157011179,1.126206726665795
std,3.017434557530072e-06,6.865307174115405e-09,7.578697676490139e-10,3.6654366382096777e-06,1.7618927889704426e-08,3.4298641321467926e-10,1.6958936828758672e-16,1.8129866073473578e-16
